ean;categoria;subcategoria;producto;id;precio;precio_oferta;precio_con_envio;precio_con_envio_e_instalacion;vendedor;oferta;coste_envio;coste_instalacion;rating_avg;rating_count;stock;tiempo_entrega;marketplace
6932554408008;;;"XIAOMI Redmi Note 14 - Smartphone 6+128GB, 6.67"" AMOLED FHD+ 120Hz Display, MediaTek Helio G99-Ultra, 108MP Camera, TurboCharge 33W, 5500mAh, Charger Not Included, Black (ES Version)";B0DRD6HP66;125.97;119.0;119.0;;MaxToGenius;-6%;;;4.4;459;InStock;Thursday, 11 December;amazon
6925281974601;;;JBL Tune 770 NC Headphones, Wireless Over-Ear Headphones with Adaptive Noise Cancelling, Bluetooth and 70 Hours Battery Life, Purple;B0C662ZCSY;149;;;;;;;;4.5;9173;InStock;;amazon
8007403118242;;;Bellissima Imetec Diffon Supreme, Hot Air Diffuser for Curly Hair, XL with 12 Fingers, Ceramic Technology and Argan Oil, 2 Speeds, 3 Temperatures, Ionizer, Gentle Drying;B09SGB55N4;79;;79.0;;;-3%;;;4.5;2551;InStock;Wednesday, 10 December;amazon
6925281967061;;;JBL Tune 720 BT Wireless Bluetooth Headphones, 76 Hours Playtime with JBL Pure Bass, Foldable, Black;B0BWVQKSSY;79.99;49.99;49.99;;;-38%;;;4.6;13189;InStock;21 - 24 January;amazon
8017709263386;;;Smeg 770926338 Toaster, Pastel Green;B07H6KLF55;20;;;;;;;;4.5;434;InStock;;amazon
8690842418938;Large Appliances;;Beko BDFN26430X – BEYOND Range Dishwasher, Energy Class D, 16 Programs, 14 Place Settings, Autodoor Opening, Delayed Start, Stainless Steel Colour;B09ZDVM6WB;352;352.99;352.99;;ELECTROPRECIO (entregamos a pie de calle);;;;4.1;66;InStock;11 - 15 December;amazon
8886419334057;;;Razer DeathAdder V3 Pro – Lightweight Wireless Ergonomic Mouse for Electronic Sports (63 g, Optical Sensor Focus Pro 30K, Gen-3 Mouse Switches, Hyperspeed Wireless) Black;B09ZLV2531;159.99;109.0;109.0;;;-32%;;;4.5;32325;InStock;Wednesday, 10 December;amazon
8421078038108;;;JATA JECP8523 - Ironing Center with Ceramic Sole. 2250 W. Continuous steam 40-60 g/min. Anti-tical. Vertical steam. Continuous filling. Capacity: 1.1 L;B0CK2B56LG;90;78.11;78.11;;;-13%;;;1.0;1;InStock;Thursday, 11 December;amazon
8421152148235;Large Appliances;;Teka TB PRO 6315 – Ceramic Hob 3 Burners 60 cm, Touch Control Technology, with Stopwatch, Teka Ceramic Hob, Black;B01LY856ZO;151;145.99;145.99;;;-3%;;;4.3;1111;InStock;Thursday, 11 December;amazon
8016361919167;Large Appliances;;Candy X-Range CMXG22DS, Microwave with Grill, 22L, 1250W, 5 Power Levels, Digital, 40 Programs, Safety Lock, Plate 25.5CM, Grill Rack, Express Cooking, Timer, Simply-Fi App, Stainless Steel;B01J7OV4EU;84;84.15;84.15;;;;;;4.2;6420;InStock;5 January - 19 February;amazon
8806095655635;;;Samsung Bluetooth Headphones BUDS3 White;B0DC74QMGH;99;;99.0;;ElectroSmartEU;-20%;;;3.1;9;InStock;Thursday, 11 December;amazon
6942103132032;;;HUAWEI Watch GT 5 Pro 46mm Smart Watch, Sharp Edges Design, Professional Level Sports Watch, Health Tracking, ECG Monitoring, Up to 14 Days Battery Life,;B0DBLFQ76P;279;279.0;279.0;;ElectroSmartEU;;;;4.6;651;InStock;Thursday, 11 December;amazon
6941812738870;;;"XIAOMI Redmi 14C - Smartphone 8+256GB, 6.88"" 120Hz LCD HD+ Display, MediaTek Helio G81 Ultra, Dual Camera with AI 50MP, 5160mAh, NFC, Green (ES Version)";B0DMSQRZKJ;89;;;;;;;;4.4;2001;InStock;;amazon
4210201432968;;;Braun Series 6 61-B1200s Dry/Wet Shaver + Travel Case + 1 Accessory;B0B9LBM61Q;99;;;;;;;;3.7;14;InStock;;amazon
198990421841;;;Door Lock;B071R4GR15;28;28.0;28.0;;MSQ-CD;;;;4.2;172;InStock;Wednesday, 10 December;amazon
8435484081702;;;Cecotec ForceClima 7100 Portable Air Conditioner with Remote Control, 7000 BTU, Low Consumption, LED Display, 4 Modes, 2 Speed, Coverage 15-20 m²;B0BPZHKY25;189.9;179.0;179.0;;;-6%;;;3.9;2694;InStock;Thursday, 11 December;amazon
6932554425548;;;"XIAOMI Redmi A5 - 4+128GB Smartphone, 6.88"" 120Hz Immersive Display, Powerful Octa Core Processor, 32MP Dual AI Camera, 5100mAh, Charger Not Included, Gold (ES Version)";B0F3J2N1J8;73;73.0;73.0;;MOBLETRUENER TRADING LTD;;;;4.1;55;InStock;Thursday, 11 December;amazon
8710103888383;;;PHILIPS BHS375 / 00 Essential Hair Straightener, ThermoProtect Technology, Keratin and Ceramic Plates, Adjustable Temperature up to 220°C;B07MNT79M4;20;20.99;20.99;;;;;;4.4;2864;InStock;Thursday, 11 December;amazon
8806090330179;;;Samsung HW-T420 Sound Bar - 150W, 2.1 Ch, Wired Subwoofer, Dolby Digital 2.1, Bluetooth 4.2 Power On, Game Mode and One Remote Control;B083VFWY49;118;;;;;;;;4.4;1916;InStock;;amazon
8806095853819;;;Samsung Galaxy S25 AI Smartphone 256GB Battery 4.000mAh Blue Version EU Imported;B0F2HG3G5Z;706;706.25;706.25;;BigAma;;;;4.6;30;InStock;18 - 22 December;amazon
4242006282769;Large Appliances;;Balay 3be297rw Hood, 5 Speed, White;B07QDBTP5C;984;984.3;984.3;;⭐⭐⭐⭐⭐ BERMELLO ELECTRODOMESTICOS;;;;4.8;16;InStock;Friday, 12 December;amazon
8059019059181;Large Appliances;;Candy FIDCP X625 L, Multifunction Oven, 70L, Tray and Grate, Aquactive Cleaning, Convection + Radial Fan, 8 Functions, Display Timer Touch, Push & Pull Controls, 2 Glass Door, Stainless Steel and;B0B786QVKX;249.01;185.0;185.0;;;-26%;;;4.4;619;InStock;17 - 20 December;amazon
7332543735143;Large Appliances;;FLAT TOP IAE63421CB 3F AEG Black;B081SWWNZK;438.12;410.38;410.38;;Tek4life;-6%;;;4.4;7;InStock;12 - 16 December;amazon
4242005498765;Large Appliances;;Bosch - Built-in dishwasher, 60 cm. wide, Series 2, Home Connect, Extra Drying, White, SMV2ITX09E;B0DFQDGRNF;429.99;;429.99;;;-9%;;;3.6;16;InStock;Monday, 15 December;amazon
8690842293863;Large Appliances;;Beko BBIE12300XD TOUCH OVEN, STAINLESS STEEL;B08WK68MLY;229;222.29;;;;-3%;;;4.4;52;InStock;;amazon
6932554407926;;;"XIAOMI Redmi Note 14 - Smartphone 6+128GB, 6.67"" AMOLED FHD+ 120Hz Display, MediaTek Helio G99-Ultra, 108MP Camera, TurboCharge 33W, 5500mAh, Charger Not Included, Blue (ES Version)";B0DRD4R43M;123.98;;123.98;;XROBERT DICKSON LTD;-3%;;;4.5;185;InStock;9 - 12 December;amazon
4548736158337;;;Sony ULT Wear, Wireless Bluetooth Headphones with ULT Power Sound, Ultimate Deep Bass, Noise Cancelling, Crystal Clear Call Quality, Up to 30H Battery Life, iOS and Android, Ivory White;B0CX1TYWC1;199;118.0;118.0;;;-41%;;;4.5;2594;InStock;Friday, 12 December;amazon
5902934830706;;;ADLER AD 7415 Electric Heating Pad for Cervicals, Neck, Back, Lumbar, Electric Blanket 30 x 40 cm, Remote Control with 2 Temperature Levels, Washable, 80 W;B07HKY1F8Y;24;24.29;24.29;;Electroactiva;;;;3.7;16;InStock;Tuesday, 9 December;amazon
6941812791547;Sports & Outdoors;;Xiaomi Redmi Watch;B0DFHFM1X9;35.99;29.49;29.49;;;-18%;;;4.5;13695;InStock;Wednesday, 10 December;amazon
5099206097179;;;Logitech Signature M650 L Full-Size Wireless Mouse - For Big Hands, 2 Years Battery, Quiet Clicks, Customizable Buttons, Bluetooth, PC/Mac/Multi-Device/Chromebook - Grey;B07W5JHM12;53.99;31.94;31.94;;;-41%;;;4.6;10924;InStock;Thursday, 11 December;amazon
195949121487;Apple Products;;Apple EarPods (USB-C) ​​​​​​​;B0CHX9X4BC;17;;;;;;;;4.8;5415;InStock;;amazon
4242002976525;Large Appliances;;Bosch - Telescopic hood, 60 cm, Series 4, Multi-layer filters, Steel, DFT63AC50;B06XNMQTTS;114;;;;;;;;4.0;368;InStock;;amazon
4242006269005;Large Appliances;;Balay 3BT263MX - Cooker Hood, Telescopic, Extra Flat, 60 cm, 368m3/h I Steel;B071LQX4H4;114;114.0;114.0;;;;;;3.9;438;InStock;Thursday, 11 December;amazon
3030050177114;;;BaByliss Hydro Fusion Iron - Dual Ionic Technology, Anti-Frizz, 5 Temperature Settings, Fast Heat, Auto Shut Off - Blue, ST573E;B0BKL811V7;79.9;39.99;39.99;;;-50%;;;4.5;307;InStock;Monday, 8 December;amazon
4548736166462;;;SONY Wireless Bluetooth Headphones WH-CH520, Sound, Lightweight Design, 50h Battery, Fast Charge, Equalizer, Clear Calls, iOS and Android - Pink;B0DYFDYB68;38;33.95;33.95;;;-11%;;;4.6;34523;InStock;Friday, 12 December;amazon
8003705120341;;;Ariete 1380 Metal Coffee Maker, Compatible with Coffee Powders and ESE Pods, 1300 W, Capacity 1.1 L, 15 Bar Pressure, ½ Cup Filter, Cappuccino Device, Silver;B09SHRZ28W;116;116.7;116.7;;;;;;3.7;218;InStock;Friday, 12 December;amazon
8436044539626;;;Orbegozo BF 1030 Floor Fan, 45 W, 3 Ventilation Speeds, Timer up to 2 Hours, Anti-Tipping Safety Device, Carry Handle, 30 cm Diameter, White;B07QV4DD2V;23;23.9;23.9;;;;;;3.9;2361;InStock;Thursday, 11 December;amazon
6941812712054;;;XIAOMI 14T – 12+256GB Smartphone, Leica Summilux Lenses, MediaTek Dimensity 8300 Ultra, 6.67'' 144Hz AMOLED Display, HyperCharge 67W, Titanium Black (ES Version);B0DJ33BZFJ;10;;;;;;;;4.2;401;InStock;;amazon
195949040849;;;XIAOMI TV F Pro 75, 75 Inch (190 cm), 4K UHD QLED, Smart TV, Fire TV, Alexa Voice Control, HDR10+, Game Boost Mode 120Hz, MEMC, 2GB+32GB, Compatible with Apple AirPlay, 2025;B0F45BLD1H;999;549.0;549.0;;;-45%;;;4.2;5049;InStock;Thursday, 11 December;amazon
7500435206341;;;Braun XT5100 hair trimmers/clipper Black,Silver;B09GPPRVQT;13;;;;;;;;3.9;741;InStock;;amazon
5099206123410;;;Logitech G PRO 2 LIGHTSPEED Wireless Gaming Mouse for Right or Left Handed with Up to 4 Customizable and Switchable Magnetic Side Buttons, 44,000 DPI Sensor, USB-C, PC/Mac - White;B0DBZCRBRD;145;99.99;99.99;;;-31%;;;4.6;12654;InStock;19 January - 14 June, 2026;amazon
4242005421213;Large Appliances;;Bosch - Dishwasher Free Installation, 60 cm, Series 4, 14 Cutlery, 3 Tray, Home Connect, White, SMS4EMW06E;B0CHSGJVWX;499;499.0;499.0;;;;;;4.3;261;InStock;Monday, 15 December;amazon
7427245699975;;;2 x OEM M Tech Tri Color Fender Side Logo Emblems Decal Badge Sticker for All M Emblems;B076VLJLCW;138;138.88;151.87;;KRAH+ENDERS FULDA;;;;2.9;3;InStock;16 - 18 December;amazon
4242003944745;Large Appliances;;Siemens - iQ300 front load washer, 9 kg, 1400 rpm, smartFinish, waveDrum drum, iQdrive motor, White, WM14N290EP;B0DFWKG9V7;549;;;;Amazon Segunda mano;;;;4.8;7;InStock;10 - 15 December;amazon
8886419333265;;;Razer DeathAdder Essential - Ratón para juegos, sensor óptico, 6400 DPI, 5 botones programables, interruptores mecánicos, agarres laterales de goma - negro;B092R5MCB3;19.95;;19.95;;;-5%;;;4.5;32325;InStock;Monday, 8 December;amazon
6970100377712;Sports & Outdoors;;AMAZFIT Active 2 Smart Watch 44mm, AI, Control por Voz, GPS & Mapas sin Coste, Batería de 10 Días, 160+ Modos Deportivos, Resistente al Agua 5 ATM, Compatible con Android & iPhone, Negro;B0DSPWKJW4;99.9;83.0;83.0;;;-17%;;;4.4;1500;InStock;Monday, 8 December;amazon
8806095360836;;;"Samsung Galaxy Tab A9+ - Tablet - Android 13 - 64GB - 27.82 cm (11"")";B0CP839PQ2;206.93;182.16;182.16;;Mobilestore GTL;-12%;;;4.4;3507;InStock;10 - 11 December;amazon
4242006315344;Large Appliances;;Balay - Compact multifunction oven, 45 cm, Aqualisis, Control Comfort, Flex Rails, Black Glass, 3CB5159N3;B0DK7HQ1HF;729;489.99;489.99;;;-33%;;;4.7;11;InStock;31 December - 9 January;amazon
4711377153317;;;MSI Pro MP275Q;B0CRNPD5P8;136;;;;;;;;4.1;160;InStock;;amazon
6941812704653;;;XIAOMI Redmi Buds 6 – Wireless Earbuds, Noise Cancelling, Lightweight, 10 Hours of Battery Life and 42 Hours with Charging Case, Bluetooth, White (ES Version);B0DPXSW5PH;39.99;34.99;34.99;;;-13%;;;4.4;2563;InStock;Thursday, 11 December;amazon
4242006299439;Large Appliances;;Balay - Built-in microwave, Stainless steel, 3CG6142X3;B09YVQZ4NF;178;178.99;178.99;;;;;;4.2;261;InStock;Thursday, 11 December;amazon
3016661149696;;;Moulinex QuickChef DD655D Hand Blender 1000 W, 10 Speed Turbo Regulator, 3 Chopping and Mounting Accessories and Measuring Cup, Anti-Splash Dome, Steel;B071VNC7N7;42;42.99;42.99;;;;;;4.4;15495;InStock;Wednesday, 10 December;amazon
8435441895915;;;Moonia | Hexacare Mattress | 28 cm Thick | Duo System Technology | Pocket Springs | 150X200;B07K8TVTTK;439;439.99;439.99;;HOMEFLEX;;;;4.5;9;InStock;18 - 19 December;amazon
195949822254;Apple Products;;Apple iPhone 16 (128 GB) - Rosa;B0DGJPL5NB;859;819.0;819.0;;;-5%;;;4.4;1757;InStock;Monday, 15 December;amazon
6932554405632;;;Redmi Note14 5G 8GB+256GB 6.67-inch OLED straight screen,IP64 dustproof and waterproof,50million pixels,120Hz refresh rate,5110mAh capacity,dual card dual standby,multifunctional sensor Midnight Black;B0DPHSL9FP;213.04;171.94;171.94;;2b-store;-19%;;;4.4;734;InStock;Thursday, 11 December;amazon
8806095596945;;;"Samsung X920N Galaxy Tab S10 Ultra Wi-Fi Moonstone Gray 14.6"" / Octa-Cora / 12GB RAM / 512GB Speicher";B0DJ54X5GK;1099;;1099.0;;ElectroSmartEU;-3%;;;5.0;8;InStock;Tuesday, 16 December;amazon
8435484016278;;;Cecotec Superautomatic Power Matic-ccino Cremma Coffee Maker, 1470 W, 19 Bars, Integrated Grinder, Thermoblock, Vaporizer, Capacity of 150 g of Coffee and 1.2 Liters of Water, Milk Tank;B0BHTPVXWM;229;229.0;229.0;;;;;;3.7;77;InStock;Thursday, 11 December;amazon
4242006293529;Large Appliances;;Balay 3BD896MX Integrated Decorative Extractor Hood, 90 cm wide, 3 extraction power, Installation in Smoke Outlet or Recirculation, Stainless Steel, 3BD896MX;B08B44C4CY;383;383.9;383.9;;;;;;4.0;9;InStock;24 December - 28 January;amazon
8886419334521;;;Razer Viper V3 Pro – Esports Gaming Ultralight Wireless Mouse (8K Hz HyperPolling, Lightweight 55g Design, Focus Pro 35K dpi Sensor, HyperSpeed Wireless, 95 Hours Lifetime) White;B0CSPNCGL2;179.99;149.96;149.96;;;-17%;;;4.5;24498;InStock;Monday, 8 December;amazon
4242005076338;;;Bosch, BGC05AAA1 Bagless Vacuum Cleaner, PureAir Hygienic Filter, Easy Hose Storage, Powerful, Purple;B079NRL6PF;129;80.99;80.99;;;-37%;;;4.4;8101;InStock;Thursday, 11 December;amazon
6941812789681;Sports & Outdoors;;XIAOMI Smart Band 9 Pro – Activity Bracelet, Autonomy of up to 21 Days, 1.74 Inch AMOLED Screen, Sleep Monitoring, 150+ Sports Modes, 5ATM, GPS and Compass, Mi Fitness App, Pink;B0DK6YXGYY;69.99;54.99;54.99;;;-21%;;;4.6;2871;InStock;Monday, 8 December;amazon
8059019059136;Large Appliances;;Candy CH63CC/4U2 Ceramic Hob 5500 W 60 cm;B0BYSXYLK5;132;;;;;;;;4.0;1003;InStock;;amazon
8806094931044;;;"Samsung UE32T4305AEXXC 32"" Smart TV with HD Resolution, HDR, PurColor, Ultra Clean View and Compatible with Voice Assistants (Alexa)";B0BTPP74W2;195;195.0;195.0;;TiendaCPU;;;;4.4;401;InStock;11 - 12 December;amazon
4548736142817;;;Sony WH-CH520 Wireless Bluetooth Headphones - Sound - Lightweight Design - 50H Battery - Fast Charging EQ - Clear Calls - iOS and Android - White;B0BTJCRW9L;33.99;29.99;29.99;;;-12%;;;4.6;34523;InStock;Monday, 8 December;amazon
3221614001123;;;Rowenta Compact Power Purple RO3969 Sled Vacuum Cleaner with High Filtration Bag and Permanent High Efficiency Filter, 3L Reservoir, 6.2m Cord, Car Accessories for More Versatility;B06XC58J3P;85.99;;85.99;;;-6%;;;4.5;2144;InStock;Thursday, 11 December;amazon
4548736143012;;;Sony WH-CH720N Wireless Bluetooth Headphones Noise Cancelling Headband, Sound, Ambient Sound Mode, Lightweight Design, Up to 50 Hours of Battery, iOS and Android - Blue;B0BTDT8V59;29;;;;Amazon Segunda mano;;;;4.5;12626;InStock;Saturday, 13 December;amazon
